,days_difference,sectionId,averageTicketPrice
62,134.312255859375,23248,399.0
63,134.312255859375,23304,196.59600830078125
64,134.312255859375,23279,292.63751220703125
65,134.312255859375,23269,454.05499267578125
66,134.312255859375,23286,278.2925109863281
67,134.312255859375,23284,232.5266571044922
68,134.312255859375,23302,202.5850067138672
69,134.312255859375,23291,252.927490234375
70,134.312255859375,23251,368.6449890136719
71,134.312255859375,23241,321.7588806152344
72,134.312255859375,23252,458.9933166503906
73,134.312255859375,23397,5190.25
74,134.312255859375,23318,194.69000244140625
75,134.312255859375,23262,361.2850036621094
76,134.312255859375,23421,9216.25
77,134.312255859375,23230,499.57000732421875
78,134.312255859375,23238,550.2249755859375
79,134.312255859375,23280,287.2099914550781
80,134.312255859375,23282,274.0199890136719
81,134.312255859375,1633104,4065.10009765625
82,134.312255859375,23257,399.0
83,134.312255859375,23261,213.3300018310547
84,134.312255859375,23287,205.53750610351562
85,134.312255859375,23303,210.80250549316406
86,40.519859313964844,44946,87.32499694824219
87,40.519859313964844,44941,105.53199768066406
88,40.519859313964844,44940,92.97999572753906
89,40.519859313964844,44861,346.2166748046875
90,40.519859313964844,44947,98.4000015258789
91,40.519859313964844,44927,178.75
92,40.519859313964844,44926,159.4600067138672
93,40.519859313964844,44885,171.00999450683594
94,40.519859313964844,44888,159.1699981689453
95,40.519859313964844,44872,247.07374572753906
96,40.519859313964844,44863,233.47999572753906
97,40.519859313964844,44942,117.7750015258789
98,40.519859313964844,44904,905.25
99,40.519859313964844,44874,328.85833740234375
100,40.519859313964844,44928,186.41307067871094
101,40.519859313964844,44900,541.9000244140625
102,40.519859313964844,44887,219.27499389648438
103,40.519859313964844,44864,190.79000854492188
104,40.519859313964844,44854,226.61000061035156
105,40.519859313964844,44951,93.0250015258789
106,40.519859313964844,44873,247.24000549316406
107,40.519859313964844,44895,1421.199951171875
108,40.519859313964844,44846,730.4450073242188
109,40.519859313964844,44853,249.48300170898438
110,40.519859313964844,44859,279.79498291015625
111,40.519859313964844,44871,271.2266540527344
112,40.519859313964844,44929,159.63858032226562
113,40.519859313964844,44949,113.10333251953125
114,40.519859313964844,44930,147.0760040283203
115,40.519859313964844,44866,214.3874969482422
116,40.519859313964844,44884,163.77999877929688
117,40.519859313964844,44870,298.8399963378906
118,40.519859313964844,44944,91.76000213623047
119,40.519859313964844,44860,320.5799865722656
120,40.519859313964844,44869,349.1080017089844
121,40.519859313964844,44848,401.8466796875
122,40.519859313964844,44850,422.9150085449219
123,40.519859313964844,44852,291.2257080078125
124,40.519859313964844,44847,635.5
125,40.519859313964844,44856,430.6700134277344
126,40.519859313964844,44945,84.4000015258789
127,40.519859313964844,44882,179.13999938964844
128,40.519859313964844,44950,98.77999877929688
129,40.519859313964844,44924,150.10182189941406
130,40.519859313964844,44903,752.5
131,40.519859313964844,44857,476.57000732421875
132,40.519859313964844,44845,588.2166748046875
133,40.519859313964844,44851,254.40750122070312
134,40.519859313964844,44867,267.88665771484375
135,40.519859313964844,44925,154.9844512939453
136,40.519859313964844,44931,134.9488983154297
137,40.519859313964844,44849,590.58349609375
138,40.519859313964844,44858,391.29998779296875
139,40.519859313964844,44943,94.9000015258789
140,40.519859313964844,44865,205.22000122070312
141,40.519859313964844,44948,535.0239868164062
142,40.519859313964844,44868,235.8655548095703
143,40.519859313964844,44883,179.13999938964844
144,40.519859313964844,44862,257.6499938964844
145,40.519859313964844,44855,372.1000061035156
146,40.26984786987305,44946,85.70000457763672
147,40.26984786987305,44941,105.53199768066406
148,40.26984786987305,44940,92.97999572753906
149,40.26984786987305,44861,346.2166748046875
150,40.26984786987305,44947,98.4000015258789
151,40.26984786987305,44927,178.75
152,40.26984786987305,44926,159.4600067138672
153,40.26984786987305,44885,171.00999450683594
154,40.26984786987305,44888,159.1699981689453
155,40.26984786987305,44872,247.07374572753906
156,40.26984786987305,44863,233.47999572753906
157,40.26984786987305,44942,181.1199951171875
158,40.26984786987305,44904,905.25
159,40.26984786987305,44874,328.85833740234375
160,40.26984786987305,44928,186.41307067871094
161,40.26984786987305,44900,541.9000244140625
162,40.26984786987305,44887,219.27499389648438
163,40.26984786987305,44864,190.79000854492188
164,40.26984786987305,44854,226.61000061035156
165,40.26984786987305,44951,93.0250015258789
166,40.26984786987305,44873,247.24000549316406
167,40.26984786987305,44846,730.4450073242188
168,40.26984786987305,44895,1421.199951171875
169,40.26984786987305,44853,249.48300170898438
170,40.26984786987305,44929,159.63858032226562
171,40.26984786987305,44859,279.79498291015625
172,40.26984786987305,44871,271.2266540527344
173,40.26984786987305,44949,113.10333251953125
174,40.26984786987305,44930,147.0760040283203
175,40.26984786987305,44866,214.3874969482422
176,40.26984786987305,44884,163.77999877929688
177,40.26984786987305,44870,298.8399963378906
178,40.26984786987305,44944,91.76000213623047
179,40.26984786987305,44860,320.5799865722656
